source,dest,latency
as00750-02,as00750-03,2.68
as00750-02,as00750-04,5.04
as00750-02,as00750-05,28.72
as00750-02,as00750-06,3.76
as00750-02,as00750-07,23.52
as00750-02,as00750-08,19.68
as00750-02,as00750-09,38.00
as00750-02,as00750-10,39.36
as00750-02,as00750-11,19.40
as00750-02,as00750-12,8.00
as00750-02,as00750-13,36.48
as00750-02,as00750-14,53.12
as00750-02,as00750-15,23.08
as00750-02,as00750-16,40.36
as00750-02,as00750-17,2.1
as00750-02,as00750-18,4.15
as00750-02,as00750-19,3.9
as00750-02,as00750-20,1.25
as00750-02,as00750-21,6.3
as00750-03,as00750-04,2.56
as00750-03,as00750-05,38.04
as00750-03,as00750-06,43.28
as00750-03,as00750-07,27.12
as00750-03,as00750-08,11.16
as00750-03,as00750-09,20.16
as00750-03,as00750-10,38.68
as00750-03,as00750-11,9.88
as00750-03,as00750-12,16.00
as00750-03,as00750-13,17.44
as00750-03,as00750-14,59.68
as00750-03,as00750-15,38.36
as00750-03,as00750-16,44.04
as00750-03,as00750-17,10.2
as00750-03,as00750-18,11.4
as00750-03,as00750-19,5.6
as00750-03,as00750-20,3.77
as00750-03,as00750-21,8.99
as00750-04,as00750-05,1.92
as00750-04,as00750-06,23.20
as00750-04,as00750-07,32.68
as00750-04,as00750-08,33.80
as00750-04,as00750-09,41.76
as00750-04,as00750-10,19.28
as00750-04,as00750-11,40.68
as00750-04,as00750-12,12.00
as00750-04,as00750-13,55.48
as00750-04,as00750-14,49.76
as00750-04,as00750-15,20.84
as00750-04,as00750-16,19.32
as00750-04,as00750-17,2.3
as00750-04,as00750-18,5.7
as00750-04,as00750-19,9.8
as00750-04,as00750-20,4
as00750-04,as00750-21,7.5
as00750-05,as00750-06,3.44
as00750-05,as00750-07,19.56
as00750-05,as00750-08,9.36
as00750-05,as00750-09,28.48
as00750-05,as00750-10,31.60
as00750-05,as00750-11,23.40
as00750-05,as00750-12,36.00
as00750-05,as00750-13,38.12
as00750-05,as00750-14,24.12
as00750-05,as00750-15,57.52
as00750-05,as00750-16,33.08
as00750-05,as00750-17,3.2
as00750-05,as00750-18,6.1
as00750-05,as00750-19,8.9
as00750-05,as00750-20,2.8
as00750-05,as00750-21,9
as00750-06,as00750-07,7.80
as00750-06,as00750-08,35.56
as00750-06,as00750-09,22.60
as00750-06,as00750-10,43.12
as00750-06,as00750-11,16.24
as00750-06,as00750-12,28.00
as00750-06,as00750-13,54.52
as00750-06,as00750-14,15.96
as00750-06,as00750-15,46.44
as00750-06,as00750-16,27.76
as00750-06,as00750-17,4.5
as00750-06,as00750-18,6.3
as00750-06,as00750-19,7.2
as00750-06,as00750-20,3.9
as00750-06,as00750-21,5.6
as00750-07,as00750-08,19.92
as00750-07,as00750-09,21.24
as00750-07,as00750-10,47.20
as00750-07,as00750-11,28.52
as00750-07,as00750-12,8.00
as00750-07,as00750-13,32.72
as00750-07,as00750-14,18.96
as00750-07,as00750-15,43.08
as00750-07,as00750-16,37.96
as00750-07,as00750-17,8.7
as00750-07,as00750-18,2.1
as00750-07,as00750-19,9.6
as00750-07,as00750-20,1.25
as00750-07,as00750-21,6.3
as00750-08,as00750-09,23.52
as00750-08,as00750-10,33.56
as00750-08,as00750-11,38.24
as00750-08,as00750-12,28.00
as00750-08,as00750-13,28.00
as00750-08,as00750-14,51.64
as00750-08,as00750-15,29.28
as00750-08,as00750-16,44.12
as00750-08,as00750-17,3.6
as00750-08,as00750-18,7.8
as00750-08,as00750-19,5.1
as00750-08,as00750-20,8.3
as00750-08,as00750-21,2.4
as00750-09,as00750-10,4.20
as00750-09,as00750-11,38.16
as00750-09,as00750-12,20.80
as00750-09,as00750-13,22.76
as00750-09,as00750-14,25.64
as00750-09,as00750-15,57.12
as00750-09,as00750-16,35.76
as00750-09,as00750-17,9.2
as00750-09,as00750-18,4.9
as00750-09,as00750-19,6.6
as00750-09,as00750-20,3.1
as00750-09,as00750-21,7.1
as00750-10,as00750-11,33.00
as00750-10,as00750-12,38.80
as00750-10,as00750-13,39.64
as00750-10,as00750-14,26.20
as00750-10,as00750-15,19.08
as00750-10,as00750-16,52.56
as00750-10,as00750-17,5.8
as00750-10,as00750-18,8
as00750-10,as00750-19,2.6
as00750-10,as00750-20,7.3
as00750-10,as00750-21,4.1
as00750-11,as00750-12,16.00
as00750-11,as00750-13,51.48
as00750-11,as00750-14,21.92
as00750-11,as00750-15,42.56
as00750-11,as00750-16,30.44
as00750-11,as00750-17,2.9
as00750-11,as00750-18,9.5
as00750-11,as00750-19,4.8
as00750-11,as00750-20,6.33
as00750-11,as00750-21,3.5
as00750-12,as00750-13,15.32
as00750-12,as00750-14,43.68
as00750-12,as00750-15,24.48
as00750-12,as00750-16,19.72
as00750-12,as00750-17,4.3
as00750-12,as00750-18,6.5
as00750-12,as00750-19,3.4
as00750-12,as00750-20,7.1
as00750-12,as00750-21,5.2
as00750-13,as00750-14,49.48
as00750-13,as00750-15,25.84
as00750-13,as00750-16,40.84
as00750-13,as00750-17,3.8
as00750-13,as00750-18,9.4
as00750-13,as00750-19,4.6
as00750-13,as00750-20,6.7
as00750-13,as00750-21,4.36
as00750-14,as00750-15,58.84
as00750-14,as00750-16,30.24
as00750-14,as00750-17,3.8
as00750-14,as00750-18,2.9
as00750-14,as00750-19,5.6
as00750-14,as00750-20,3.74
as00750-14,as00750-21,7.1
as00750-15,as00750-16,47.40
as00750-15,as00750-17,7.2
as00750-15,as00750-18,2.3
as00750-15,as00750-19,9.1
as00750-15,as00750-20,5.4
as00750-15,as00750-21,3.8
as00750-16,as00750-17,8.9
as00750-16,as00750-18,4.5
as00750-16,as00750-19,6.7
as00750-16,as00750-20,3
as00750-16,as00750-21,9.8
as00750-17,as00750-18,2.6
as00750-17,as00750-19,6
as00750-17,as00750-20,5.9
as00750-17,as00750-21,8.3
as00750-18,as00750-19,4.2
as00750-18,as00750-20,3.4
as00750-18,as00750-21,7.9
as00750-19,as00750-20,4.8
as00750-19,as00750-21,9.4
as00750-20,as00750-21,5.7
